,X,Rk,Player,Nation,Pos,Squad,Rank,Age,Born,MP,Starts,Min,X90s,Goals,Shots,SoT,SoT.,G.Sh,G.SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp.,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp.,PasMedCmp,PasMedAtt,PasMedCmp.,PasLonCmp,PasLonAtt,PasLonCmp.,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri.,TklDriPast,Press,PresSucc,Press.,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl.Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc.,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec.,RecProg,CrdY,CrdR,X2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon.
354,1712,1712,Konstantinos Mavropanos,GRE,CB,Stuttgart,B,24,1997,31,31,2705,30.1,0.13,1.1,0.37,33.3,0.12,0.36,12.5,0,0,0,49.2,60.8,80.9,1119.2,428.7,15,16.7,89.5,22.9,26.5,86.3,10.8,15.8,68.1,0,0.17,3.82,0.23,0.03,3.89,60.8,53.7,7.08,2.16,0,7.28,3.69,0.23,0,0,0,0,37.9,9.04,13.9,9.57,41.8,2.56,4.92,0.2,49.2,0.27,1.53,1.79,1.16,0.83,0.4,0.07,0.03,0.23,0,0.1,0.13,0.07,0,0,0.03,0,0.03,2.36,1.3,1.46,0.8,0.1,1,1.79,55.6,0.8,8.44,3.82,45.3,4.98,2.92,0.53,2.79,1.03,0.03,1.76,3.22,5.58,5.32,0.03,75.6,10.3,37.9,36.6,5.88,1.43,68.8,0.56,0.96,58.6,0.63,0.07,40.2,218.3,122,3.02,0.83,0.1,0.47,0.5,44.5,43.2,97.1,0.13,0.1,0,0,0.83,0.66,0.07,0.23,1.3,0,0.1,0,10.1,4.02,0.9,81.8
357,1740,1740,Gary Medel,CHI,CB,Bologna,B,34,1987,33,32,2823,31.4,0,0.06,0,0,0,0,10.4,0,0,0,47,52.5,89.6,1065.7,359.9,12.6,13.2,95.2,23.1,24.2,95.3,10.9,14.2,76.7,0.03,0.03,2.01,0.13,0.03,1.88,52.5,48.5,4.04,3.6,0,3.69,1.21,0.1,0,0,0,0,37.7,4.62,10.2,5.45,43.6,2.45,0.22,0.22,47,0.16,0.35,0.45,0.48,0.29,0.25,0,0.03,0,0,0,0.06,0.06,0,0,0,0,0,1.08,0.57,0.86,0.22,0,0.38,0.96,40,0.57,9.11,3.18,35,5.48,3.31,0.32,1.59,0.76,0,0.83,1.97,3.06,4.08,0,60.6,13.4,36.1,26.4,1.05,0.06,56.8,0.32,0.41,76.9,0.32,0,37.2,194,92.6,1.78,0.25,0,0.03,0.22,38.3,37.9,98.9,0.16,0.32,0.03,0.03,1.24,0.99,0.03,0.1,0.57,0,0.06,0,9.27,1.18,1.08,52.1
358,1741,1741,Facundo Medina,ARG,CB,Lens,B,23,1999,31,30,2593,28.8,0.03,0.31,0.07,22.2,0.11,0.5,8.9,0,0,0,70.7,78.4,90.1,1358,527.3,28.1,29.7,94.6,32.2,34.5,93.4,9.38,12.3,76.3,0,0.17,5.94,0.17,0,5.73,78.4,75,3.47,2.26,0,7.57,2.4,0.14,0,0,0,0,64.9,5.97,7.57,67.7,6.32,2.36,0.94,0.17,70.7,0.07,0.94,1.81,0.9,0.97,0.87,0.03,0.03,0.03,0,0,0.07,0.07,0,0,0,0,0,2.57,1.81,1.53,0.9,0.14,1.39,2.4,58,1.01,12.2,4.55,37.3,5.1,6.18,0.9,1.74,0.28,0.07,1.46,2.33,4.9,2.64,0.03,88,9.58,36.6,54,3.78,0.76,84.7,0.59,0.69,85,0.59,0,61.9,355.1,221.5,6.53,0.97,0.03,0.52,0.49,66.1,64.3,97.3,0.45,0.38,0,0,1.39,0.52,0,0.14,1.81,0,0.07,0,9.31,1.35,1.28,51.3
359,1743,1743,Ben Mee,ENG,CB,Burnley,B,32,1989,21,21,1839,20.4,0.15,0.88,0.2,22.2,0.17,0.75,8,0,0,0,26.4,36,73.4,654.4,248.3,6.86,7.84,87.5,12,14.5,83.1,7.25,12.7,57.1,0,0.1,2.65,0.15,0.05,2.3,36,34.7,1.32,1.13,0,5.98,1.96,0.15,0,0,0,0,17.8,3.92,14.3,25.2,4.61,3.58,0.2,0.15,26.4,0.15,0.93,0.64,0.69,0.39,0.25,0,0,0.1,0.05,0,0,0,0,0,0,0,0,1.32,0.78,0.74,0.44,0.15,0.54,1.08,50,0.54,5.34,1.91,35.8,2.99,2.06,0.29,1.96,1.27,0.05,0.69,1.72,3.04,5.98,0,47.7,7.16,24.2,22.9,2.45,1.37,46.4,0.2,0.29,66.7,0.25,0,23.2,117.1,50.4,0.93,0.05,0,0.2,0.25,23.1,22.2,95.8,0.15,0.15,0,0,0.69,0.39,0.1,0.15,0.78,0,0,0.05,11.9,4.51,1.81,71.3
367,1778,1778,Mexer,MOZ,CB,Bordeaux,B,33,1988,16,14,1227,13.6,0.07,0.37,0.07,20,0.2,1,15.7,0,0,0,42.6,50.2,84.8,1019.6,299.1,9.85,10.4,94.4,21.8,23.8,91.7,10.4,14.9,70,0,0,1.91,0.07,0,1.4,50.2,48.2,2.06,1.69,0.07,4.49,2.43,0.15,0,0,0,0,38.5,2.87,8.9,7.13,40.5,1.1,0.37,0.22,42.6,0.15,0.74,0.96,0.59,0.37,0.29,0,0,0.07,0,0,0,0,0,0,0,0,0,1.25,0.96,0.96,0.29,0,0.59,1.4,42.1,0.81,5.15,1.99,38.6,3.75,1.1,0.29,1.4,0.66,0,0.74,2.13,3.38,5.44,0,60.2,10.1,37.3,25.1,1.4,0.44,58.4,0.15,0.29,50,0.15,0,39.6,198.5,84.3,1.4,0.07,0.07,0.15,0.29,39,38.7,99.2,0,0.15,0,0,0.44,0.51,0,0.15,0.96,0,0.07,0,8.38,1.91,1.91,50
369,1790,1790,Nikola Milenkovic,SRB,CB,Fiorentina,A,24,1997,34,34,2926,32.5,0.03,0.71,0.28,39.1,0.04,0.11,15,0,0,0,57.9,64.5,89.8,1316.3,350.3,13.5,15.2,88.7,32.3,33.8,95.4,11.8,14.5,81.7,0,0.03,3.66,0.03,0,2.74,64.5,62.1,2.46,2.34,0,6.74,2.86,0.06,0,0,0,0,48.9,6.92,8.74,6.83,51.4,3.32,0.12,0.15,57.9,0.03,0.77,1.14,0.62,0.37,0.31,0,0,0.06,0,0,0.03,0.03,0,0,0,0,0,1.42,0.77,0.92,0.31,0.18,0.77,1.17,65.8,0.4,8.86,3.14,35.4,4.28,3.88,0.71,1.32,0.52,0,0.8,2.31,3.72,2.71,0,72.9,8.28,38.7,36,2.92,0.8,70.6,0.06,0.09,66.7,0.09,0,47,228.5,123,2.77,0.34,0,0.22,0.25,51.3,50.3,98.2,0.31,0.31,0.03,0.03,1.51,0.74,0,0.06,0.77,0,0.03,0,10.6,3.85,1.17,76.7
370,1794,1794,Eder Militao,BRA,CB,Real Madrid,A,24,1998,34,34,3031,33.7,0.03,0.95,0.24,25,0.03,0.13,16.7,0,0,0,52.8,59.2,89.2,1143,323.6,16.5,17.5,94.6,25.6,27.3,93.7,10,13.1,76.2,0.06,0.33,4.18,0.21,0.03,2.11,59.2,56.2,3,1.36,0.12,6.11,2.4,0.36,0,0,0,0,46.5,4.51,8.16,4.45,50,2.34,0.62,0.33,52.8,0.24,1.07,0.8,0.62,0.95,0.68,0.03,0,0.09,0.09,0.06,0.15,0.06,0,0,0.03,0.03,0.03,1.93,1.19,1.22,0.42,0.3,0.8,1.48,54,0.68,8.4,2.91,34.6,4.54,2.94,0.92,1.45,0.71,0,0.74,2.08,4.01,3.71,0.09,69.4,11.6,37,32.5,4.69,1.31,66.6,0.36,0.62,57.1,0.36,0.03,46.3,256.4,131,2.26,0.68,0.06,0.27,0.36,48.2,47.2,98,0.27,0.15,0,0,1.22,1.22,0.03,0.36,1.19,0.03,0,0,8.99,2.85,1.07,72.7
371,1803,1803,Tyrone Mings,ENG,CB,Aston Villa,A,29,1993,36,35,3189,35.4,0.03,0.59,0.14,23.8,0.05,0.2,12.4,0,0,0,35.9,44.6,80.5,799.5,283.8,9.44,11,85.6,19.7,21.7,90.8,6.55,11.1,58.9,0.08,0.28,2.15,0.17,0.03,2.12,44.6,42.6,2.06,1.5,0.06,4.58,1.05,0.11,0,0,0,0,30.8,3.7,10.2,32.7,7.18,2.77,0.51,0.06,35.9,0.08,1.05,0.82,0.54,0.73,0.56,0,0,0.08,0.06,0.03,0.11,0.08,0,0,0.03,0,0,1.02,0.59,0.65,0.23,0.14,0.31,0.59,52.4,0.28,5.73,1.86,32.5,3.19,1.89,0.65,1.95,0.93,0.08,1.02,2.2,3.22,5.11,0.06,55.4,10.6,34,21.4,3.53,1.55,53.5,0.25,0.31,81.8,0.25,0,31,194.2,103.4,1.89,0.42,0.03,0.2,0.08,34.8,33.3,95.7,0.28,0.31,0,0,0.82,0.76,0.03,0.11,0.59,0,0.03,0,8.87,2.68,1.38,66
374,1811,1811,Stefan Mitrovic,SRB,CB,Getafe,B,32,1990,32,31,2667,29.6,0.03,0.17,0.03,20,0.2,1,11.4,0,0,0,24.1,30.6,78.5,565.8,176.4,5.88,6.76,87,12.4,14.3,86.7,5.51,9.02,61,0,0.07,0.61,0.03,0,0.84,30.6,28.8,1.82,1.82,0,4.22,1.11,0,0,0,0,0,18.9,2.36,9.43,12.8,12.6,3.21,0,0.1,24.1,0.1,0.88,0.3,0.2,0.27,0.24,0,0,0.03,0,0,0,0,0,0,0,0,0,0.57,0.27,0.37,0.2,0,0.27,0.44,61.5,0.17,4.76,1.62,34,3.14,1.45,0.17,1.28,0.57,0,0.71,1.39,1.96,3.82,0.03,38.2,6.52,23.1,16,0.78,0.44,36.4,0.07,0.1,66.7,0.07,0,17.1,97.5,34.7,0.44,0,0,0.14,0.07,19.3,18.8,97.5,0.1,0.27,0.03,0,0.54,0.1,0,0,0.27,0,0,0,9.05,3.14,1.35,69.9
379,1857,1857,Harold Moukoudi,CMR,CB,Saint-?ienne,B,24,1997,24,17,1661,18.5,0,0.38,0,0,0,0,7.8,0,0,0,45,49.6,90.7,1028.6,318.6,12.8,13.7,93.3,21.5,22.9,94.1,10.5,12.3,85.1,0,0.05,2.59,0.11,0,1.84,49.6,47.9,1.68,1.35,0,3.24,2.7,0,0,0,0,0,39.5,4.16,5.89,8.7,36.8,2.59,0.32,0.16,45,0,0.43,1.08,0.38,0.43,0.32,0,0,0.05,0,0.05,0,0,0,0,0,0,0,1.84,1.19,1.35,0.49,0,0.65,1.57,41.4,0.92,10.1,4.81,47.8,6.59,3.35,0.11,2.05,0.81,0,1.24,2.22,4.05,3.68,0.11,59.8,8.05,31.2,30.2,1.68,0.54,58.2,0.27,0.43,62.5,0.32,0,36.9,186.2,106.3,2.7,0.16,0,0.32,0.11,39.6,39.1,98.8,0.05,0.16,0,0,0.76,0.32,0,0,1.19,0,0,0,7.78,1.84,1.08,63
