,X,Rk,Player,Nation,Pos,Squad,Rank,Age,Born,MP,Starts,Min,X90s,Goals,Shots,SoT,SoT.,G.Sh,G.SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp.,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp.,PasMedCmp,PasMedAtt,PasMedCmp.,PasLonCmp,PasLonAtt,PasLonCmp.,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri.,TklDriPast,Press,PresSucc,Press.,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl.Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc.,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec.,RecProg,CrdY,CrdR,X2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon.
2,2,2,Yunis Abdelhamid,MAR,CB,Reims,B,34,1987,34,34,2983,33.1,0.06,0.54,0.18,33.3,0.11,0.33,18.7,0,0,0,38.7,47,82.4,835.8,287.9,10.2,11.4,89.9,22.4,25,89.4,5.65,9.15,61.7,0,0.24,2.45,0.18,0,2.72,47,44,3.02,2.45,0,5.68,1.66,0.06,0,0,0,0,35.3,3.78,7.95,31.7,12.1,1.48,0.42,0.12,38.7,0.15,0.97,1.24,0.88,0.63,0.42,0,0.09,0.03,0,0.09,0.03,0,0,0.03,0,0,0,1.87,1.39,1.24,0.6,0.03,0.39,0.82,48.1,0.42,13.6,4.89,35.9,7.61,5.14,0.88,1.87,0.79,0.06,1.09,3.11,4.98,3.2,0,57.3,8.28,32.8,25.7,2.9,0.85,54.5,0.48,0.66,72.7,0.48,0.03,35.7,204.7,115.5,2.75,0.73,0,0.45,0.39,37.5,36.3,96.9,0.36,0.15,0.03,0,1.3,0.73,0,0.06,1.39,0,0.03,0,6.77,2.02,1.36,59.8
3,10,10,Francesco Acerbi,ITA,CB,Lazio,B,34,1988,30,29,2536,28.2,0.14,0.57,0.25,43.8,0.25,0.57,9.2,0,0,0,64.3,71.1,90.3,1345.5,409.9,20.1,21.6,93.1,33.3,35.3,94.4,9.93,12.9,77.1,0,0.21,4.33,0.21,0,3.12,71.1,68.6,2.52,2.2,0.07,5.96,2.66,0.04,0,0,0,0,52.8,5.6,12.7,54.1,12.2,2.77,0.04,0.28,64.3,0.04,0.78,0.85,0.43,0.64,0.5,0.04,0,0.04,0.07,0,0.07,0.04,0,0,0,0.04,0,0.96,0.43,0.64,0.32,0,0.32,0.71,45,0.39,5.85,1.7,29.1,3.05,2.41,0.39,1.7,1.06,0,0.64,1.7,2.66,4.08,0.04,80.2,12.3,42,41.4,2.3,0.78,77.9,0.11,0.14,75,0.11,0,52.4,284.8,161.6,3.48,0.71,0,0.28,0.11,58.8,57.8,98.3,0.35,0.07,0.04,0,0.71,0.67,0.14,0.04,0.43,0.04,0,0,10.7,2.84,1.6,64
6,26,26,Nayef Aguerd,MAR,CB,Rennes,B,26,1996,31,31,2735,30.4,0.07,0.82,0.23,28,0.08,0.29,8.6,0,0,0,64.3,71.5,90,1482.1,482.3,16,17.1,93.4,33.3,34.8,95.5,14.8,18.9,78.4,0.07,0.1,3.65,0.07,0,2.93,71.5,69.3,2.2,2.04,0.03,6.12,3.26,0.07,0,0,0,0,59,3.22,9.31,60.6,7.3,1.94,0.16,0.13,64.3,0.1,0.76,1.22,0.53,0.39,0.33,0,0,0.03,0.03,0,0.13,0.1,0,0,0,0.03,0,0.99,0.39,0.56,0.43,0,0.23,0.59,38.9,0.36,6.25,2.17,34.7,3.36,2.76,0.13,0.99,0.43,0,0.56,1.78,2.76,5,0.07,81.2,9.51,41.3,42.7,1.88,1.15,79.1,0.16,0.2,83.3,0.16,0,57.1,279.3,149.8,2.43,0.16,0,0.23,0.2,62.2,61.3,98.6,0.07,0.1,0.03,0,0.59,0.53,0.03,0.07,0.39,0.03,0.07,0,7.63,3.55,1.51,70.1
8,31,31,Anel Ahmedhodzic,BIH,CB,Bordeaux,B,23,1999,15,15,1350,15,0,0.47,0.27,57.1,0,0,14.8,0,0,0,51.3,57.9,88.6,1028.1,308.7,19.1,20.2,94.7,24.3,26.5,91.5,7.53,10.1,74.3,0.07,0.67,2.07,0.4,0.13,3.73,57.9,55.7,2.2,1.47,0.07,6.73,1.87,0.47,0,0,0,0,46.4,4.27,7.27,8.87,44.3,2.73,0.73,0.07,51.3,0.07,0.93,0.73,0.6,1.33,1.2,0,0,0.07,0,0.07,0.07,0.07,0,0,0,0,0,2.33,1.47,1.8,0.47,0.07,0.87,1.8,48.1,0.93,9.93,3.33,33.6,5.8,3.13,1,1.27,0.53,0,0.73,2.27,4.6,3.07,0,67.8,8.8,33.9,34.5,4.53,1.13,65.7,0.13,0.33,40,0.2,0.07,44.3,275.8,163.1,4.13,0.8,0.33,0.27,0.47,45.8,45.1,98.5,0.2,0.4,0,0,1.4,0.73,0,0.47,1.47,0,0,0,10.4,1.67,0.67,71.4
9,33,33,Joseph Aidoo,GHA,CB,Celta Vigo,B,26,1995,32,30,2637,29.3,0,0.2,0.03,16.7,0,0,12.8,0,0,0,43.1,52,83,991.7,281.3,10.1,11.5,88.1,22.2,24.8,89.5,10.3,14.7,69.9,0,0.1,3.45,0.24,0.03,3.41,52,50.8,1.23,0.55,0.07,5.56,1.23,0.07,0,0,0,0,38.1,3.92,10,8.57,38.1,3.14,0.68,0.34,43.1,0.1,1.06,1.37,0.51,0.44,0.41,0,0,0.03,0,0,0.07,0.07,0,0,0,0,0,1.98,1.4,1.57,0.27,0.14,0.75,1.13,66.7,0.38,10.9,4.23,38.9,7.06,3.38,0.44,1.67,0.58,0,1.09,1.88,3.86,4.44,0.07,62,7.88,33.4,31.3,1.64,0.38,60.9,0.27,0.34,80,0.27,0.03,40.5,240.8,135,3.58,0.27,0.03,0.27,0.34,40.3,39.9,98.9,0.17,0.03,0,0,0.38,0.65,0.03,0.07,1.4,0,0,0.03,9.59,2.63,1.74,60.2
12,36,36,Kristoffer Ajer,NOR,CB,Brentford,B,24,1998,24,23,1995,22.2,0.05,0.32,0.05,14.3,0.14,1,9.1,0,0,0,28.3,39.3,72.1,522.6,237.3,11,13.3,82.8,13.3,16.7,79.7,3.33,6.89,48.4,0.14,0.27,2.16,0.45,0.05,3.38,39.3,32.5,6.85,0.36,0,6.22,0.68,0.54,0,0,0,0,20.2,9.77,9.32,1.89,26,2.84,6.49,0.09,28.3,0.18,1.04,1.49,1.8,1.26,0.9,0.18,0.05,0.05,0.05,0.05,0.27,0.14,0.05,0.05,0,0.05,0,1.8,0.99,1.13,0.54,0.14,0.9,1.62,55.6,0.72,9.28,3.29,35.4,4.82,3.15,1.31,1.62,0.59,0.05,1.04,2.21,4.01,3.65,0.05,49.9,5.27,20.8,24.1,8.29,1.4,43.2,0.5,0.77,64.7,0.5,0,25.3,152.5,92.2,3.29,1.22,0.09,0.59,0.5,26.8,24.1,89.7,0.81,0.23,0,0,0.81,0.86,0,0.54,0.99,0,0,0,8.38,2.84,1.71,62.4
13,38,38,Manuel Akanji,SUI,CB,Dortmund,A,26,1995,26,25,2261,25.1,0.04,0.56,0.12,21.4,0.07,0.33,10.4,0.04,0,0,71.8,79.1,90.7,1601.2,526.8,19.5,21.1,92.4,37.9,39.5,95.9,14.2,17.8,79.6,0,0.08,5.18,0.12,0,4.82,79.1,76.6,2.55,2.31,0,7.93,2.75,0.08,0,0,0,0,65.1,4.82,9.24,15.7,59.3,2.55,0.24,0.04,71.8,0.12,0.88,1.04,0.6,0.44,0.32,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,1.99,1.43,1.16,0.64,0.2,0.88,1.43,61.1,0.56,9.8,4.5,45.9,5.58,3.67,0.56,1.51,0.72,0,0.8,1.87,3.86,2.91,0,87.6,10.2,43.3,47.6,2.83,0.88,85.4,0.28,0.28,100,0.28,0,60.8,355.1,184.1,5.1,0.48,0,0.2,0.16,67.2,66.3,98.8,0.24,0.12,0,0,0.92,1.04,0.04,0.08,1.43,0,0,0.04,9.56,2.55,1.55,62.1
15,46,46,Kevin Akpoguma,NGA,CB,Hoffenheim,B,27,1995,26,19,1527,17,0.12,0.71,0.24,33.3,0.17,0.5,12.7,0,0,0,42.4,54.7,77.5,801.4,322.1,17.5,20.5,85.3,19.5,23.2,83.8,5,8.94,55.9,0.12,0.71,3.24,0.76,0.12,4.65,54.7,44.2,10.5,1,0.12,7.29,1.12,1.71,0,0,0,0,33.1,12,9.65,5.18,37.6,1.59,9.47,0.06,42.4,0.18,1.35,2.12,2.12,1.59,1.06,0.06,0.18,0.18,0.06,0.06,0.24,0.12,0,0,0.06,0,0.06,2.18,1.18,1,0.71,0.47,1.06,1.88,56.3,0.82,14.9,4.41,29.5,5.88,6,3.06,3.29,0.12,0,3.18,2.06,4.24,1.88,0.12,67.2,3.71,22.4,31.9,16.8,2.06,57.1,1.06,2.06,51.4,1.12,0.12,37.8,180.6,101.9,4,1.18,0.76,1.06,0.82,41.5,37.4,89.9,1.18,0.29,0,0,1.76,1.41,0.24,1.71,1.18,0,0.06,0,8.47,1.35,1.29,51.1
16,47,47,David Alaba,AUT,CB,Real Madrid,A,29,1992,30,30,2642,29.4,0.07,0.71,0.2,28.6,0.1,0.33,22,0.24,0,0,61.4,66.9,91.7,1143.1,371.3,25.5,26.5,96.5,27.6,29.3,94.3,7.35,9.69,75.8,0.1,0.75,4.49,0.61,0.17,3.47,66.9,64,2.86,1.36,0.07,5.37,0.65,1.09,0.1,0.1,0,0,57.1,4.18,5.58,55.2,8.54,1.36,1.16,0.1,61.4,0.17,0.48,0.65,0.68,1.56,1.26,0.07,0.03,0.14,0,0.07,0.27,0.24,0,0,0.03,0,0,0.85,0.61,0.44,0.34,0.07,0.31,0.54,56.3,0.24,7.59,2.82,37.2,3.4,3.4,0.78,1.26,0.58,0.03,0.68,1.39,2.24,2.28,0.07,73.8,8.74,33.6,36.5,10,1.67,70.7,0.17,0.27,62.5,0.17,0,54.4,331.9,181.2,4.29,1.5,0.27,0.41,0.24,59.4,57.4,96.7,1.84,0.07,0,0,0.61,0.44,0.07,1.09,0.61,0,0,0,6.43,0.78,0.78,50
18,54,54,Raul Albiol,ESP,CB,Villarreal,B,36,1985,28,28,2465,27.4,0,0.22,0.04,16.7,0,0,8.1,0,0,0,48.8,55.8,87.5,1160.7,323.3,10.3,11.2,92.5,26.3,28.2,93.3,11.6,15.3,76.3,0,0.15,2.3,0.04,0,2.45,55.8,53.8,1.93,1.75,0,5.99,1.93,0,0,0,0,0,41.9,4.23,9.6,8.83,43.1,2.85,0.11,0.04,48.8,0.04,0.77,0.66,0.66,0.33,0.26,0,0,0.07,0,0,0.07,0.04,0,0,0.04,0,0,0.99,0.55,0.62,0.36,0,0.33,0.51,64.3,0.18,6.13,2.48,40.5,3.25,2.66,0.22,1.39,0.58,0.04,0.8,1.35,2.34,5.22,0,64.9,10.5,38.2,30.7,1.24,0.29,63,0.18,0.29,62.5,0.18,0,40.7,268.6,153.7,2.63,0.07,0,0.15,0.15,44.5,44,99,0,0.29,0,0,0.73,0.47,0.07,0,0.55,0,0,0,8.83,1.93,1.02,65.4
19,59,59,Omar Alderete,PAR,CB,Valencia,B,25,1996,29,28,2403,26.7,0.07,0.64,0.19,29.4,0.12,0.4,16.3,0,0,0,21.6,34.8,62.2,566.3,253.1,5.62,6.93,81.1,8.8,11.5,76.3,6.89,15.6,44.1,0,0.19,2.85,0.26,0,2.85,34.8,32.6,2.21,1.87,0.07,4.64,3.11,0.07,0,0,0,0,15.1,2.92,16.9,26.9,2.4,3.52,0.11,0.07,21.6,0.15,1.46,1.01,0.49,0.41,0.37,0,0.04,0,0,0,0.07,0.07,0,0,0,0,0,2.43,1.69,1.54,0.86,0.04,1.12,1.99,56.6,0.86,9.25,3.45,37.2,5.36,3.52,0.37,1.35,0.67,0,0.67,2.62,5.06,6.93,0,48.5,7.9,26,23.1,2.36,0.94,46.4,0.41,0.56,73.3,0.45,0,22,149.4,88.2,2.13,0.34,0.07,0.22,0.3,21.2,20.8,97.9,0.11,0.56,0,0,1.84,0.26,0,0.07,1.69,0,0.07,0,10.6,3.56,1.54,69.9
22,73,73,Giorgio Altare,ITA,CB,Cagliari,B,23,1998,19,17,1466,16.3,0.06,1.1,0.37,33.3,0.06,0.17,12.3,0,0,0,34.5,50.2,68.8,778.3,337.9,10.4,12.8,81.7,15.1,19.3,78.1,8.65,16.4,52.6,0,0.49,3.56,0.55,0.25,3.5,50.2,44.7,5.52,1.29,0,5.64,1.17,0.92,0,0,0,0,24.7,6.5,19,9.26,30.4,4.72,4.23,0.06,34.5,0.25,1.35,1.29,1.1,1.53,0.98,0.12,0,0.31,0,0.12,0,0,0,0,0,0,0,2.58,1.72,1.04,1.23,0.31,0.92,1.6,57.7,0.67,10.2,3.87,38,3.74,5.46,0.98,1.6,0.43,0,1.17,2.7,5.28,4.6,0,61.7,6.69,26.7,29.8,7.85,1.6,56.2,0.37,0.49,75,0.37,0,31.9,148.8,76.2,2.27,0.92,0,0.31,0.18,31.8,30.5,95.9,0.55,0.31,0,0,2.52,0.98,0.06,0.92,1.72,0,0.06,0,12.9,2.76,2.33,54.2
23,75,75,Yeray Alvarez,ESP,CB,Athletic Club,B,27,1995,22,21,1860,20.7,0,0.39,0,0,0,0,11.9,0,0,0,39.9,48.1,82.8,888,321.6,11.1,12.1,92,20.9,23.1,90.4,7.68,12.1,63.6,0,0.1,2.71,0.19,0,2.95,48.1,45.7,2.42,2.37,0,5.31,2.08,0.1,0,0,0,0,33.2,4.73,10.2,3.57,38.9,3.14,0.05,0.34,39.9,0.1,1.06,0.68,0.72,0.53,0.43,0,0,0.05,0,0.05,0.05,0.05,0,0,0,0,0,1.64,0.92,0.87,0.77,0,0.34,0.68,50,0.34,6.62,2.85,43.1,3.09,3.19,0.34,1.35,0.87,0.05,0.48,2.61,4.25,4.98,0,58.9,8.7,31.3,29.2,3,0.63,56.8,0.19,0.34,57.1,0.24,0,29.7,217.7,117.8,2.32,0.63,0,0.14,0.24,31.9,31.5,98.8,0.14,0.29,0,0,1.21,0.77,0.05,0.1,0.92,0,0,0,12.2,3.38,2.22,60.3
25,80,80,Daniel Amartey,GHA,CB,Leicester City,B,27,1994,28,23,2123,23.6,0,0.08,0.04,50,0,0,32.1,0,0,0,57.3,62.5,91.7,1174,335.3,17.2,18.1,94.6,31.8,33.4,95.3,7.88,9.75,80.9,0,0.13,2.33,0,0,2.5,62.5,61.3,1.19,0.89,0,5.81,0.97,0,0,0,0,0,54,3.39,5.13,5.59,53.3,2.33,0.25,0.13,57.3,0.08,0.38,0.93,0.76,0.72,0.68,0,0,0,0,0.04,0.04,0.04,0,0,0,0,0,1.06,0.51,0.64,0.38,0.04,0.68,1.36,50,0.68,7.29,2.29,31.4,4.11,2.84,0.34,2.03,1.02,0.04,1.02,1.27,2.33,4.66,0.08,72.1,11.4,38.6,34.8,2.58,0.25,71.1,0.25,0.34,75,0.25,0,49.8,218.9,124.6,2.54,0.81,0,0.17,0.08,53.5,52.4,97.9,0.04,0.17,0,0,0.72,0.38,0.04,0,0.51,0,0,0,8.94,1.91,1.61,54.2
27,90,90,Joachim Andersen,DEN,CB,Crystal Palace,A,25,1996,34,32,2916,32.4,0,0.25,0.09,37.5,0,0,14,0.03,0,0,56,67.8,82.5,1458.2,445.4,10.1,11.3,88.8,29.7,31.9,93,16,24,66.5,0.09,0.62,4.91,0.37,0.09,2.87,67.8,65.3,2.53,2.28,0.06,5.74,3.4,0.43,0.03,0,0,0.03,44.9,4.85,18.1,5.65,56.8,3.43,0.12,0.22,56,0.15,1.7,1.6,0.43,1.02,0.9,0.03,0,0.03,0,0.06,0.15,0.12,0,0,0.03,0,0,1.11,0.71,0.8,0.31,0,0.43,0.86,50,0.43,4.85,1.79,36.9,2.93,1.7,0.22,1.27,0.65,0,0.62,1.85,2.96,4.81,0.06,77.4,15.1,48,31.2,2.62,1.02,74.9,0.19,0.25,75,0.19,0,48.8,276.6,133.2,1.98,0.15,0.06,0.06,0.25,55.8,55.2,98.9,0.06,0.12,0,0,0.59,0.25,0.03,0.43,0.71,0,0,0.03,8.86,2.59,1.33,66.1
28,94,94,Andres Andrade,PAN,CB,Arminia,B,23,1998,17,12,1046,11.6,0,0.6,0.26,42.9,0,0,19.6,0,0,0,30.4,44.6,68.3,567.2,266.6,12.5,15.9,78.8,14.2,19.4,73.3,3.1,7.5,41.4,0,0.26,2.93,0.09,0,3.28,44.6,36.3,8.28,0.78,0,6.29,0.78,0.95,0,0,0,0,22.2,8.88,13.4,26.6,5.17,3.53,7.5,0.09,30.4,0.09,0.78,2.41,1.55,0.52,0.43,0,0,0.09,0,0,0.09,0.09,0,0,0,0,0,2.5,1.72,1.64,0.69,0.17,1.38,2.67,51.6,1.29,15.5,5.43,35,9.05,5.34,1.12,1.9,0.86,0,1.03,2.24,4.74,4.57,0.09,57.6,5.95,23,26.8,10.3,1.47,49.4,0.69,1.38,50,0.78,0.17,28.6,160.1,98.6,3.71,0.78,0.43,0.69,1.29,27.5,25.1,91.2,0.6,0.34,0,0,1.21,0.17,0.09,0.95,1.72,0,0.09,0,11.2,2.67,2.33,53.4
31,103,103,Waldemar Anton,GER,CB,Stuttgart,B,25,1996,29,29,2595,28.8,0.07,0.8,0.21,26.1,0.09,0.33,13.8,0,0,0,53.5,62.5,85.6,1177.5,389.4,15.1,16.4,92.6,28.6,31.1,92,9.2,13.9,66.3,0.03,0.35,3.19,0.38,0.07,2.99,62.5,59.6,2.95,1.67,0.07,6.39,1.74,0.42,0,0,0,0,46.9,5.56,10.1,10,47.3,2.47,1.18,0.17,53.5,0.07,1.18,0.87,0.76,1.04,0.87,0.03,0,0,0.03,0.1,0.07,0.07,0,0,0,0,0,1.63,1.15,0.94,0.63,0.07,0.73,1.46,50,0.73,11.4,4.44,38.9,5.8,4.83,0.8,1.77,0.63,0.03,1.15,2.29,3.92,5.52,0.03,75.1,12.7,42.6,33.8,3.82,1.15,72.4,0.52,0.8,65.2,0.59,0.1,47.5,303,152.4,3.33,0.56,0,0.35,0.42,50,49.1,98.3,0.31,0.21,0.03,0,1.08,0.66,0.03,0.42,1.15,0,0,0,10.1,3.06,2.22,57.9
33,113,113,Nestor Araujo,MEX,CB,Celta Vigo,B,30,1991,34,29,2617,29.1,0,0.27,0.03,12.5,0,0,21.7,0,0,0,45.7,52.2,87.5,1021.6,226.8,11.4,12.5,90.9,24.4,26.2,93.2,9.66,12.8,75.5,0,0.03,2.03,0.1,0.03,1.92,52.2,51.1,1.13,1.03,0,4.3,1.31,0.1,0,0,0,0,41.3,3.3,7.59,7.9,39.3,3.44,0.1,0.07,45.7,0.21,0.89,0.82,0.34,0.27,0.21,0,0.03,0.03,0,0,0.07,0.07,0,0,0,0,0,0.93,0.58,0.76,0.17,0,0.31,0.62,50,0.31,6.6,2.54,38.5,3.51,2.78,0.31,1.03,0.41,0.03,0.62,1.82,2.75,5.02,0,61.1,7.63,36.3,28.9,2.2,0.34,60,0.21,0.24,85.7,0.21,0,37.9,282.3,162.4,3.2,1.1,0,0.14,0.17,40.8,40.2,98.4,0.07,0.14,0,0,0.69,0.34,0,0.1,0.58,0,0,0.03,9.73,2.41,1.86,56.5
34,114,114,Ronald Araujo,URU,CB,Barcelona,A,23,1999,30,25,2272,25.2,0.16,0.75,0.4,52.6,0.21,0.4,11.4,0,0,0,58.9,65.2,90.4,1257.4,341.6,16.1,16.9,95.1,32.8,34.7,94.5,9.52,12.8,74.3,0,0.24,3.37,0.2,0.08,3.06,65.2,61.7,3.53,1.71,0.04,5.48,2.14,0.2,0,0,0,0,52.6,4.05,8.53,5.08,54.7,1.83,1.75,0.2,58.9,0.12,0.67,0.99,0.24,0.52,0.4,0,0,0.08,0.04,0,0,0,0,0,0,0,0,1.94,1.31,1.47,0.44,0.04,0.91,1.19,76.7,0.28,8.77,3.41,38.9,4.68,3.65,0.44,1.98,0.83,0.04,1.15,1.47,3.41,3.1,0.08,74.2,9.37,36,40.4,3.65,1.15,70.9,0.24,0.48,50,0.24,0,50.6,303.7,188.3,4.52,0.48,0.08,0.28,0.2,54.1,53.2,98.3,0.32,0.24,0,0,0.95,0.52,0.04,0.2,1.31,0,0,0,8.21,2.86,1.03,73.5
38,152,152,Kaan Ayhan,TUR,CB,Sassuolo,B,27,1994,23,14,1354,15,0.07,0.33,0.07,20,0.2,1,15.7,0.13,0,0,52.5,57.9,90.7,1146,415,17.3,18.1,95.6,24.5,26.1,93.9,10.3,13,79,0,0.13,4.2,0.13,0,5.07,57.9,54.9,3,2.53,0,5.87,2.53,0.07,0,0,0,0,47,2.93,8,3.47,50.5,2.07,0.2,0.33,52.5,0.27,0.8,0.67,0.2,0.53,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0.6,1,0.47,0,0.2,0.8,25,0.6,8.27,2.53,30.6,4.87,3.2,0.2,1.53,0.93,0.07,0.6,1.6,3.07,3.8,0,66.4,10.3,35.5,34.1,1.8,0.33,63.6,0.13,0.13,100,0.13,0,44.5,273.7,180,3.33,0.4,0,0.27,0.07,46.7,46,98.6,0,0.13,0.07,0,0.87,0.33,0.07,0.07,0.6,0,0.07,0,8.2,2.27,2.13,51.5
41,163,163,Benoit Badiashile,FRA,CB,Monaco,A,21,2001,24,21,1838,20.4,0.05,0.69,0.2,28.6,0.07,0.25,9.4,0,0,0,59.1,66,89.5,1260.6,391.9,16.8,17.9,94,31.9,34.2,93.4,10,13.2,75.6,0,0.05,3.82,0.15,0,4.61,66,64.8,1.23,1.13,0,6.47,2.45,0.05,0,0,0,0,52.5,5.34,8.24,51.4,9.9,2.3,0.1,0.1,59.1,0.05,0.98,1.03,0.39,0.49,0.39,0,0,0.05,0.05,0,0,0,0,0,0,0,0,1.91,1.37,1.18,0.74,0,0.64,1.23,52,0.59,8.38,3.63,43.3,4.56,3.58,0.25,1.62,0.69,0.05,0.93,2.79,4.71,3.77,0.1,75.9,8.82,32.7,44.5,1.86,0.93,74.8,0.2,0.34,57.1,0.2,0,47,209.8,108.9,2.6,0.2,0,0.15,0.1,52.5,51.8,98.5,0.25,0.2,0,0,1.32,0.54,0.1,0.05,1.37,0,0.05,0,11.7,3.53,0.98,78.3
45,194,194,Mattia Bani,ITA,CB,Genoa,B,28,1993,17,13,1211,13.5,0,0.67,0,0,0,0,8.3,0,0,0,25,34,73.4,541.5,206.7,6.89,7.85,87.7,13.2,16.1,81.7,4.52,9.11,49.6,0,0.07,1.33,0,0,2.22,34,31,3.04,2.37,0,5.26,0.81,0,0,0,0,0,18.2,4.52,11.3,1.78,25.3,3.56,0,0.81,25,0.15,0.89,0.52,0.52,0.3,0.22,0,0,0.07,0,0,0,0,0,0,0,0,0,1.78,0.81,1.26,0.52,0,0.89,1.26,70.6,0.37,10.9,3.48,32,7.26,3.26,0.37,1.78,0.74,0,1.04,2.74,4.52,5.93,0,47.3,9.78,29.4,17.4,2.07,1.26,44.7,0.07,0.07,100,0.07,0,18.2,101.7,44.4,0.59,0.07,0,0.44,0.07,20.2,19.7,97.4,0,0.07,0,0,0.96,1.63,0,0,0.81,0,0,0,11,4.89,2,71
49,218,218,Marc Bartra,ESP,CB,Betis,B,31,1991,23,23,1993,22.1,0.05,0.68,0.14,20,0.07,0.33,15.1,0,0,0,41.6,50.1,82.9,952.6,306.2,10.8,11.8,91.2,22.1,23.8,93,8.33,13.7,60.7,0,0.27,3.12,0.14,0,2.53,50.1,48.6,1.58,1.45,0.05,4.93,2.44,0,0,0,0,0,34.4,3.26,12.5,2.04,43.5,2.67,0.09,0.18,41.6,0.36,1.22,0.95,0.41,0.5,0.36,0.09,0,0.05,0,0,0,0,0,0,0,0,0,1.99,0.9,1.13,0.72,0.14,0.9,1.86,48.8,0.95,9.14,3.03,33.2,5.02,3.53,0.59,2.26,0.95,0,1.31,1.95,3.94,5.52,0.09,62.4,10.7,35.8,27.3,2.22,1.13,60.8,0.32,0.36,87.5,0.32,0,36,188.9,97.3,2.49,0.27,0,0.18,0.23,39.5,38.8,98.3,0.14,0.23,0,0,1,0.86,0,0,0.9,0,0,0,9.32,3.57,1.67,68.1
50,225,225,Alessandro Bastoni,ITA,CB,Inter,A,23,1999,31,29,2311,25.7,0.04,0.35,0.08,22.2,0.11,0.5,19,0,0,0,62.3,70,89,1253.6,376.6,23,24.8,92.6,28.5,30.7,92.9,9.69,12.4,78.3,0.08,0.43,4.32,0.66,0.16,4.05,70,65.5,4.44,2.14,0.08,7.28,2.57,0.82,0.08,0,0,0,53.6,6.26,10.1,57.4,7.82,1.87,1.13,0.19,62.3,0.23,0.7,1.13,1.21,1.25,1.09,0,0.08,0,0.04,0.04,0.16,0.16,0,0,0,0,0,1.95,1.36,1.09,0.82,0.04,0.58,1.01,57.7,0.43,11.4,4.51,39.6,4.86,4.98,1.56,1.56,0.66,0,0.89,1.48,3.42,2.76,0.08,79.2,10.9,36,38.6,9.77,0.86,75.3,0.39,0.62,62.5,0.43,0.12,53.7,253.3,150.2,4.2,1.21,0.16,0.51,0.51,58.2,56.7,97.4,1.17,0.16,0,0,1.4,1.32,0,0.82,1.36,0,0.04,0,9.3,2.41,1.4,63.3
51,229,229,Maximilian Bauer,GER,CB,Greuther F?th,B,22,2000,26,18,1690,18.8,0,0.32,0.05,16.7,0,0,10.4,0,0,0,38.4,46.2,83,892.3,259,8.46,9.73,86.9,21.3,23.1,92.2,8.3,12.5,66.4,0,0.05,1.01,0,0,0.96,46.2,44.1,2.13,1.91,0.11,6.7,1.54,0,0,0,0,0,34.9,3.3,8.03,5.59,36.3,2.55,0.11,0,38.4,0.16,0.9,0.8,0.53,0.43,0.37,0,0,0.05,0,0,0,0,0,0,0,0,0,1.86,1.33,1.44,0.37,0.05,0.69,1.38,50,0.69,12.3,4.63,37.5,7.18,4.95,0.21,1.65,0.8,0,0.85,2.45,4.31,5.96,0.05,57.9,9.79,37.8,21.5,1.38,0.69,55.9,0,0,0,0,0,32.1,153.5,64.2,0.8,0.05,0.05,0.11,0.11,35.1,34.1,97.1,0.05,0.27,0,0,1.6,0.64,0.05,0,1.33,0,0.05,0.05,8.4,3.46,2.29,60.2
